subject,video_set,emotion,intensity
60jre6xi,ADFES,disgust,137.37548659059192
60jre6xi,ADFES,sadness,116.48429066153584
60jre6xi,ADFES,fear,143.65936667505795
60jre6xi,ADFES,happiness,153.6557214985588
60jre6xi,ADFES,neutrality,35.99684256212706
60jre6xi,JeFEE,surprise,114.75036921839569
60jre6xi,JeFEE,anger,130.32373778178896
60jre6xi,JeFEE,disgust,136.97807045887149
60jre6xi,JeFEE,sadness,111.59297833093378
60jre6xi,JeFEE,fear,129.08028365350103
60jre6xi,JeFEE,happiness,129.52721640847503
60jre6xi,JeFEE,neutrality,66.58332162885901
63q8b4gk,ADFES,surprise,248.0615350715659
63q8b4gk,ADFES,anger,238.0678348384087
63q8b4gk,ADFES,disgust,244.4889746410309
63q8b4gk,ADFES,sadness,242.985833772576
63q8b4gk,ADFES,fear,263.0114952207604
63q8b4gk,ADFES,happiness,241.5735781200384
63q8b4gk,ADFES,neutrality,27.45973094402275
63q8b4gk,JeFEE,surprise,234.34337297339886
63q8b4gk,JeFEE,anger,224.98142091955953
63q8b4gk,JeFEE,disgust,249.24695493804143
63q8b4gk,JeFEE,sadness,205.5456086216539
63q8b4gk,JeFEE,fear,182.00426947492076
63q8b4gk,JeFEE,happiness,220.21996347019174
63q8b4gk,JeFEE,neutrality,118.76612931041021
79o97uw1,ADFES,surprise,195.41830901476928
79o97uw1,ADFES,anger,200.75864557533268
79o97uw1,ADFES,disgust,193.92962664810238
79o97uw1,ADFES,sadness,192.5271740966298
79o97uw1,ADFES,fear,206.2738691876006
79o97uw1,ADFES,happiness,207.82723097822716
79o97uw1,ADFES,neutrality,5.294991606354706
79o97uw1,JeFEE,surprise,184.57263840443602
79o97uw1,JeFEE,anger,185.82697261981394
79o97uw1,JeFEE,disgust,202.71942760494773
79o97uw1,JeFEE,sadness,178.6103013827052
79o97uw1,JeFEE,fear,169.69844266585784
79o97uw1,JeFEE,happiness,203.5603837165976
79o97uw1,JeFEE,neutrality,51.19171160349272
7lgboipc,ADFES,surprise,209.72133038495724
7lgboipc,ADFES,anger,189.9916762125925
7lgboipc,ADFES,disgust,180.08789175790915
