Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;counterbalance-nev8;checkpoint-hsvv;checkpoint-txsb;checkpoint-9u81;checkpoint-xbnd;Spreadsheet;Current Spreadsheet;Trial Number;Display;Screen;Screen ID;Screen Counter;Response Type;Response;Onset Time;Clock Time;Reaction Time;Absolute Onset Time;Absolute Clock Time;Absolute Reaction Time;Correct;Response Onset;Response Duration;Proportion;Tag;Component Name;Object Name;Object Number;Object ID;Spreadsheet: display;Manipulation: Spreadsheet
2;1685098169350;26/05/2023 10:49:29;1685105369350;2;26/05/2023 14:49:29;132490;1;task-gtxd;;29735503;p0heb6q4;8846758;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1280x720;1920x914;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;1;Bye;Screen 1;gp16u7;1;continue;;6540.648;6530.423;6540.648;6540.648;6530.423;6540.648;1;6540.648;0;0;;Click To Continue;Continue Button;2;object-4;Bye;
3;1685098169354;26/05/2023 10:49:29;1685105369354;2;26/05/2023 14:49:29;132490;1;task-gtxd;;29735503;p0heb6q4;8846758;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1280x720;1920x914;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;END;;;;;;;0;;;;;;;;;;
1;1685098423746;26/05/2023 10:53:43;1685105623746;2;26/05/2023 14:53:43;132490;1;task-gtxd;;29735461;d1qbcpme;8846745;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
2;1685098426265;26/05/2023 10:53:46;1685105626265;2;26/05/2023 14:53:46;132490;1;task-gtxd;;29735461;d1qbcpme;8846745;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;1;Bye;Screen 1;gp16u7;1;continue;;2532.2130000476836;2516.1179999999995;2532.2130000476836;2532.2130000476836;2516.1179999999995;2532.2130000476836;1;2532.2130000476836;0;0;;Click To Continue;Continue Button;2;object-4;Bye;
3;1685098426268;26/05/2023 10:53:46;1685105626268;2;26/05/2023 14:53:46;132490;1;task-gtxd;;29735461;d1qbcpme;8846745;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Bye;2;Spreadsheet_even;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;END;;;;;;;0;;;;;;;;;;
1;1685095907459;26/05/2023 10:11:47;1685103107459;2;26/05/2023 14:11:47;132490;1;task-gtxd;;29734538;c59an26a;8846452;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
2;1685095911203;26/05/2023 10:11:51;1685103111203;2;26/05/2023 14:11:51;132490;1;task-gtxd;;29734538;c59an26a;8846452;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;1;Bye;Screen 1;gp16u7;1;continue;;3766.9590000000003;3750.253;3766.9590000000003;3766.9590000000003;3750.253;3766.9590000000003;1;3766.9590000000003;0;0;;Click To Continue;Continue Button;2;object-4;Bye;
3;1685095911205;26/05/2023 10:11:51;1685103111205;2;26/05/2023 14:11:51;132490;1;task-gtxd;;29734538;c59an26a;8846452;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 113.0.0.0;1366x768;1366x625;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;END;;;;;;;0;;;;;;;;;;
1;1685091082485;26/05/2023 08:51:22;1685098282485;2;26/05/2023 12:51:22;132490;1;task-gtxd;;29733082;jxz1q7xl;8846280;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 16.3;1440x900;1080x658;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;;;;;;;BEGIN;;;;;;;0;;;;;;;;;;
2;1685091084731;26/05/2023 08:51:24;1685098284731;2;26/05/2023 12:51:24;132490;1;task-gtxd;;29733082;jxz1q7xl;8846280;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 16.3;1440x900;1080x658;feedback_check;;;Bye;2;Spreadsheet_odd;Consent Check;task_check;Demo_check;feedback_check;Spreadsheet1;Spreadsheet1;1;Bye;Screen 1;gp16u7;1;continue;;3857;3847;3857;3857;3847;3857;1;3857;0;0;;Click To Continue;Continue Button;2;object-4;Bye;
