"subject","video_set","emotion","acc"
"fmjv8ry8","ADFES","surprise",1
"fmjv8ry8","ADFES","anger",0.75
"fmjv8ry8","ADFES","disgust",0.125
"fmjv8ry8","ADFES","sadness",0.875
"fmjv8ry8","ADFES","fear",0.5
"fmjv8ry8","ADFES","happiness",1
"fmjv8ry8","JeFEE","surprise",0.375
"fmjv8ry8","JeFEE","anger",0.625
"fmjv8ry8","JeFEE","disgust",0.625
"fmjv8ry8","JeFEE","sadness",0.5
"fmjv8ry8","JeFEE","fear",0.375
"fmjv8ry8","JeFEE","happiness",0.5
"frd19iku","ADFES","surprise",1
"frd19iku","ADFES","anger",0.75
"frd19iku","ADFES","disgust",0.875
"frd19iku","ADFES","sadness",0.75
"frd19iku","ADFES","fear",0.5
"frd19iku","ADFES","happiness",1
"frd19iku","JeFEE","surprise",0.125
"frd19iku","JeFEE","anger",0.375
"frd19iku","JeFEE","disgust",0.875
"frd19iku","JeFEE","sadness",0.5
"frd19iku","JeFEE","fear",0.625
"frd19iku","JeFEE","happiness",0.5
"g7790rx3","ADFES","surprise",1
"g7790rx3","ADFES","anger",0.875
"g7790rx3","ADFES","disgust",1
"g7790rx3","ADFES","sadness",0.875
"g7790rx3","ADFES","fear",1
"g7790rx3","ADFES","happiness",0.75
"g7790rx3","JeFEE","surprise",0.75
"g7790rx3","JeFEE","anger",0.75
"g7790rx3","JeFEE","disgust",0.5
"g7790rx3","JeFEE","sadness",0.5
"g7790rx3","JeFEE","fear",0.875
"g7790rx3","JeFEE","happiness",0
"gexhmc79","ADFES","surprise",0.75
"gexhmc79","ADFES","anger",0.875
"gexhmc79","ADFES","disgust",0.75
"gexhmc79","ADFES","sadness",0.875
"gexhmc79","ADFES","fear",0.75
"gexhmc79","ADFES","happiness",0.625
"gexhmc79","JeFEE","surprise",0
"gexhmc79","JeFEE","anger",0.75
"gexhmc79","JeFEE","disgust",0.25
"gexhmc79","JeFEE","sadness",0.5
"gexhmc79","JeFEE","fear",0.625
"gexhmc79","JeFEE","happiness",0.625
"hdq8xswj","ADFES","surprise",0.625
"hdq8xswj","ADFES","anger",0.75
"hdq8xswj","ADFES","disgust",0.875
"hdq8xswj","ADFES","sadness",0.875
"hdq8xswj","ADFES","fear",0.375
"hdq8xswj","ADFES","happiness",0.75
"hdq8xswj","JeFEE","surprise",0.5
"hdq8xswj","JeFEE","anger",0.625
"hdq8xswj","JeFEE","disgust",0.25
"hdq8xswj","JeFEE","sadness",0.625
"hdq8xswj","JeFEE","fear",0.375
"hdq8xswj","JeFEE","happiness",0.375
"hnn1eyik","ADFES","surprise",1
"hnn1eyik","ADFES","anger",1
"hnn1eyik","ADFES","disgust",0.75
"hnn1eyik","ADFES","sadness",0.875
"hnn1eyik","ADFES","fear",1
"hnn1eyik","ADFES","happiness",1
"hnn1eyik","JeFEE","surprise",0.375
"hnn1eyik","JeFEE","anger",0.75
"hnn1eyik","JeFEE","disgust",0.25
"hnn1eyik","JeFEE","sadness",0.875
"hnn1eyik","JeFEE","fear",1
"hnn1eyik","JeFEE","happiness",0.875
"hpndbzh9","ADFES","surprise",1
"hpndbzh9","ADFES","anger",0.75
"hpndbzh9","ADFES","disgust",0.5
"hpndbzh9","ADFES","sadness",0.625
"hpndbzh9","ADFES","fear",0.25
"hpndbzh9","ADFES","happiness",0.875
"hpndbzh9","JeFEE","surprise",0.25
"hpndbzh9","JeFEE","anger",0.5
"hpndbzh9","JeFEE","disgust",0.25
"hpndbzh9","JeFEE","sadness",0.125
"hpndbzh9","JeFEE","fear",0.25
"hpndbzh9","JeFEE","happiness",0.375
"hq365287","ADFES","surprise",1
"hq365287","ADFES","anger",0.5
"hq365287","ADFES","disgust",0.625
"hq365287","ADFES","sadness",0.375
"hq365287","ADFES","fear",0.75
"hq365287","ADFES","happiness",0.625
"hq365287","JeFEE","surprise",0.5
"hq365287","JeFEE","anger",0.25
"hq365287","JeFEE","disgust",0.625
"hq365287","JeFEE","sadness",0
"hq365287","JeFEE","fear",0.285714285714286
"hq365287","JeFEE","happiness",0
"hwvdllev","ADFES","surprise",0.875
"hwvdllev","ADFES","anger",0.875
"hwvdllev","ADFES","disgust",0.875
"hwvdllev","ADFES","sadness",0.625
"hwvdllev","ADFES","fear",0.875
"hwvdllev","ADFES","happiness",0.75
"hwvdllev","JeFEE","surprise",0.375
"hwvdllev","JeFEE","anger",0.75
"hwvdllev","JeFEE","disgust",0
"hwvdllev","JeFEE","sadness",0.5
"hwvdllev","JeFEE","fear",0.25
"hwvdllev","JeFEE","happiness",0
"i6jntqic","ADFES","surprise",0.875
"i6jntqic","ADFES","anger",0.875
"i6jntqic","ADFES","disgust",1
"i6jntqic","ADFES","sadness",0.875
"i6jntqic","ADFES","fear",0.375
"i6jntqic","ADFES","happiness",0.625
"i6jntqic","JeFEE","surprise",0.25
"i6jntqic","JeFEE","anger",0.625
"i6jntqic","JeFEE","disgust",0.375
"i6jntqic","JeFEE","sadness",0.75
"i6jntqic","JeFEE","fear",0.625
"i6jntqic","JeFEE","happiness",0.25
"ig6tayxh","ADFES","surprise",1
"ig6tayxh","ADFES","anger",0.75
"ig6tayxh","ADFES","disgust",0.875
"ig6tayxh","ADFES","sadness",0.875
"ig6tayxh","ADFES","fear",0.875
"ig6tayxh","ADFES","happiness",1
"ig6tayxh","JeFEE","surprise",1
"ig6tayxh","JeFEE","anger",0.5
"ig6tayxh","JeFEE","disgust",0.25
"ig6tayxh","JeFEE","sadness",0.625
"ig6tayxh","JeFEE","fear",0.125
"ig6tayxh","JeFEE","happiness",1
"ii08kyt7","ADFES","surprise",0.875
"ii08kyt7","ADFES","anger",0.75
"ii08kyt7","ADFES","disgust",0.875
"ii08kyt7","ADFES","sadness",0.75
"ii08kyt7","ADFES","fear",0.75
"ii08kyt7","ADFES","happiness",0.625
"ii08kyt7","JeFEE","surprise",0.75
"ii08kyt7","JeFEE","anger",0.625
"ii08kyt7","JeFEE","disgust",0.75
"ii08kyt7","JeFEE","sadness",0.5
"ii08kyt7","JeFEE","fear",0.75
"ii08kyt7","JeFEE","happiness",0.5
"iisgv5ob","ADFES","surprise",0.875
"iisgv5ob","ADFES","anger",0.875
"iisgv5ob","ADFES","disgust",0.714285714285714
"iisgv5ob","ADFES","sadness",1
"iisgv5ob","ADFES","fear",0.625
"iisgv5ob","ADFES","happiness",1
"iisgv5ob","JeFEE","surprise",0.875
"iisgv5ob","JeFEE","anger",0.875
"iisgv5ob","JeFEE","disgust",0.75
"iisgv5ob","JeFEE","sadness",0.625
"iisgv5ob","JeFEE","fear",0.75
"iisgv5ob","JeFEE","happiness",0.75
"ix2h2wzp","ADFES","surprise",0.875
"ix2h2wzp","ADFES","anger",1
"ix2h2wzp","ADFES","disgust",0.875
"ix2h2wzp","ADFES","sadness",0.875
"ix2h2wzp","ADFES","fear",0.75
"ix2h2wzp","ADFES","happiness",0.875
"ix2h2wzp","JeFEE","surprise",0.25
"ix2h2wzp","JeFEE","anger",0.5
"ix2h2wzp","JeFEE","disgust",0.625
"ix2h2wzp","JeFEE","sadness",0.125
"ix2h2wzp","JeFEE","fear",0.5
"ix2h2wzp","JeFEE","happiness",0.75
"j126wcyc","ADFES","surprise",0.875
"j126wcyc","ADFES","anger",0.875
"j126wcyc","ADFES","disgust",1
"j126wcyc","ADFES","sadness",0.625
"j126wcyc","ADFES","fear",0.875
"j126wcyc","ADFES","happiness",0.625
"j126wcyc","JeFEE","surprise",0.25
"j126wcyc","JeFEE","anger",0.625
"j126wcyc","JeFEE","disgust",0.75
"j126wcyc","JeFEE","sadness",0.375
"j126wcyc","JeFEE","fear",0.75
"j126wcyc","JeFEE","happiness",0.25
"j29qyzxg","ADFES","surprise",1
"j29qyzxg","ADFES","anger",1
"j29qyzxg","ADFES","disgust",0.5
"j29qyzxg","ADFES","sadness",0.625
"j29qyzxg","ADFES","fear",0.375
"j29qyzxg","ADFES","happiness",0.875
"j29qyzxg","JeFEE","surprise",0.625
"j29qyzxg","JeFEE","anger",0.875
"j29qyzxg","JeFEE","disgust",0.625
"j29qyzxg","JeFEE","sadness",1
"j29qyzxg","JeFEE","fear",0.5
"j29qyzxg","JeFEE","happiness",0.75
"je3rjmi2","ADFES","surprise",1
"je3rjmi2","ADFES","anger",1
"je3rjmi2","ADFES","disgust",0.75
"je3rjmi2","ADFES","sadness",1
"je3rjmi2","ADFES","fear",0.5
"je3rjmi2","ADFES","happiness",0.875
"je3rjmi2","JeFEE","surprise",0.625
"je3rjmi2","JeFEE","anger",0.875
"je3rjmi2","JeFEE","disgust",0.25
"je3rjmi2","JeFEE","sadness",0.875
"je3rjmi2","JeFEE","fear",0.5
"je3rjmi2","JeFEE","happiness",1
"ji2rd390","ADFES","surprise",1
"ji2rd390","ADFES","anger",1
"ji2rd390","ADFES","disgust",0.625
"ji2rd390","ADFES","sadness",0.75
"ji2rd390","ADFES","fear",0.25
"ji2rd390","ADFES","happiness",1
"ji2rd390","JeFEE","surprise",0.625
"ji2rd390","JeFEE","anger",0.75
"ji2rd390","JeFEE","disgust",0.75
"ji2rd390","JeFEE","sadness",0.5
"ji2rd390","JeFEE","fear",0.875
"ji2rd390","JeFEE","happiness",0.5
"jktqr01i","ADFES","surprise",0.5
"jktqr01i","ADFES","anger",0.875
"jktqr01i","ADFES","disgust",0.25
"jktqr01i","ADFES","sadness",0.75
"jktqr01i","ADFES","fear",0.375
"jktqr01i","ADFES","happiness",0.75
"jktqr01i","JeFEE","surprise",0.625
"jktqr01i","JeFEE","anger",0.875
"jktqr01i","JeFEE","disgust",0.25
"jktqr01i","JeFEE","sadness",1
"jktqr01i","JeFEE","fear",0.625
"jktqr01i","JeFEE","happiness",0.25
"jv3dj12y","ADFES","surprise",1
"jv3dj12y","ADFES","anger",1
"jv3dj12y","ADFES","disgust",1
"jv3dj12y","ADFES","sadness",0.75
"jv3dj12y","ADFES","fear",0.5
"jv3dj12y","ADFES","happiness",0.875
"jv3dj12y","JeFEE","surprise",0.75
"jv3dj12y","JeFEE","anger",0.625
"jv3dj12y","JeFEE","disgust",0.5
"jv3dj12y","JeFEE","sadness",0.25
"jv3dj12y","JeFEE","fear",0.75
"jv3dj12y","JeFEE","happiness",0.375
"l35gju5h","ADFES","surprise",1
"l35gju5h","ADFES","anger",1
"l35gju5h","ADFES","disgust",0.875
"l35gju5h","ADFES","sadness",0.875
"l35gju5h","ADFES","fear",0.875
"l35gju5h","ADFES","happiness",1
"l35gju5h","JeFEE","surprise",0.75
"l35gju5h","JeFEE","anger",0.5
"l35gju5h","JeFEE","disgust",0.125
"l35gju5h","JeFEE","sadness",0.5
"l35gju5h","JeFEE","fear",0.375
"l35gju5h","JeFEE","happiness",0.285714285714286
"lhe9lp4f","ADFES","surprise",1
"lhe9lp4f","ADFES","anger",1
"lhe9lp4f","ADFES","disgust",0.75
"lhe9lp4f","ADFES","sadness",1
"lhe9lp4f","ADFES","fear",0.75
"lhe9lp4f","ADFES","happiness",0.875
"lhe9lp4f","JeFEE","surprise",0.75
"lhe9lp4f","JeFEE","anger",0.75
"lhe9lp4f","JeFEE","disgust",0.625
"lhe9lp4f","JeFEE","sadness",0.5
"lhe9lp4f","JeFEE","fear",0.125
"lhe9lp4f","JeFEE","happiness",0.375
"mb9ge3oi","ADFES","surprise",1
"mb9ge3oi","ADFES","anger",0.75
"mb9ge3oi","ADFES","disgust",0.625
"mb9ge3oi","ADFES","sadness",0.75
"mb9ge3oi","ADFES","fear",0.625
"mb9ge3oi","ADFES","happiness",0.5
"mb9ge3oi","JeFEE","surprise",0.5
"mb9ge3oi","JeFEE","anger",0.375
"mb9ge3oi","JeFEE","disgust",0.375
"mb9ge3oi","JeFEE","sadness",0.375
"mb9ge3oi","JeFEE","fear",0.285714285714286
"mb9ge3oi","JeFEE","happiness",0.25
"mcv912fz","ADFES","surprise",1
"mcv912fz","ADFES","anger",1
"mcv912fz","ADFES","disgust",0.75
"mcv912fz","ADFES","sadness",0.875
"mcv912fz","ADFES","fear",0.375
"mcv912fz","ADFES","happiness",0.75
"mcv912fz","JeFEE","surprise",0.5
"mcv912fz","JeFEE","anger",0.625
"mcv912fz","JeFEE","disgust",0.285714285714286
"mcv912fz","JeFEE","sadness",0.625
"mcv912fz","JeFEE","fear",0.375
"mcv912fz","JeFEE","happiness",0.875
"mh056tf9","ADFES","surprise",0.875
"mh056tf9","ADFES","anger",1
"mh056tf9","ADFES","disgust",0.625
"mh056tf9","ADFES","sadness",0.875
"mh056tf9","ADFES","fear",0.875
"mh056tf9","ADFES","happiness",1
"mh056tf9","JeFEE","surprise",0.75
"mh056tf9","JeFEE","anger",1
"mh056tf9","JeFEE","disgust",0.125
"mh056tf9","JeFEE","sadness",0.625
"mh056tf9","JeFEE","fear",0.5
"mh056tf9","JeFEE","happiness",0.75
"mpy5eqe2","ADFES","surprise",1
"mpy5eqe2","ADFES","anger",0.875
"mpy5eqe2","ADFES","disgust",0.5
"mpy5eqe2","ADFES","sadness",1
"mpy5eqe2","ADFES","fear",1
"mpy5eqe2","ADFES","happiness",0.75
"mpy5eqe2","JeFEE","surprise",0.625
"mpy5eqe2","JeFEE","anger",0.75
"mpy5eqe2","JeFEE","disgust",0.875
"mpy5eqe2","JeFEE","sadness",0.625
"mpy5eqe2","JeFEE","fear",1
"mpy5eqe2","JeFEE","happiness",0.5
"mvxomygc","ADFES","surprise",1
"mvxomygc","ADFES","anger",1
"mvxomygc","ADFES","disgust",1
"mvxomygc","ADFES","sadness",1
"mvxomygc","ADFES","fear",0.875
"mvxomygc","ADFES","happiness",1
"mvxomygc","JeFEE","surprise",0.875
"mvxomygc","JeFEE","anger",1
"mvxomygc","JeFEE","disgust",0.75
"mvxomygc","JeFEE","sadness",0.5
"mvxomygc","JeFEE","fear",1
"mvxomygc","JeFEE","happiness",0.875
"mylb0v9w","ADFES","surprise",1
"mylb0v9w","ADFES","anger",1
"mylb0v9w","ADFES","disgust",0.5
"mylb0v9w","ADFES","sadness",0.875
"mylb0v9w","ADFES","fear",0.25
"mylb0v9w","ADFES","happiness",1
"mylb0v9w","JeFEE","surprise",0.75
"mylb0v9w","JeFEE","anger",0.625
"mylb0v9w","JeFEE","disgust",0.625
"mylb0v9w","JeFEE","sadness",0.285714285714286
"mylb0v9w","JeFEE","fear",0.25
"mylb0v9w","JeFEE","happiness",0.125
"n5dsmkhd","ADFES","surprise",1
"n5dsmkhd","ADFES","anger",1
"n5dsmkhd","ADFES","disgust",0.625
"n5dsmkhd","ADFES","sadness",0.75
"n5dsmkhd","ADFES","fear",0.75
"n5dsmkhd","ADFES","happiness",1
"n5dsmkhd","JeFEE","surprise",0.875
"n5dsmkhd","JeFEE","anger",0.625
"n5dsmkhd","JeFEE","disgust",0.5
"n5dsmkhd","JeFEE","sadness",0
"n5dsmkhd","JeFEE","fear",0.625
"n5dsmkhd","JeFEE","happiness",0.625
"n7yv68im","ADFES","surprise",1
"n7yv68im","ADFES","anger",0.857142857142857
"n7yv68im","ADFES","disgust",1
"n7yv68im","ADFES","sadness",0.875
"n7yv68im","ADFES","fear",0.625
"n7yv68im","ADFES","happiness",0.875
"n7yv68im","JeFEE","surprise",1
"n7yv68im","JeFEE","anger",0.625
"n7yv68im","JeFEE","disgust",0.285714285714286
"n7yv68im","JeFEE","sadness",0.25
"n7yv68im","JeFEE","fear",0
"n7yv68im","JeFEE","happiness",0.25
"nkcfvk3e","ADFES","surprise",1
"nkcfvk3e","ADFES","anger",0.875
"nkcfvk3e","ADFES","disgust",0.75
"nkcfvk3e","ADFES","sadness",0.75
"nkcfvk3e","ADFES","fear",0.75
"nkcfvk3e","ADFES","happiness",0.875
"nkcfvk3e","JeFEE","surprise",0.75
"nkcfvk3e","JeFEE","anger",0.875
"nkcfvk3e","JeFEE","disgust",0.375
"nkcfvk3e","JeFEE","sadness",0.625
"nkcfvk3e","JeFEE","fear",0.5
"nkcfvk3e","JeFEE","happiness",0.375
"o2z7pip6","ADFES","surprise",0.875
"o2z7pip6","ADFES","anger",0.625
"o2z7pip6","ADFES","disgust",0.5
"o2z7pip6","ADFES","sadness",0.875
"o2z7pip6","ADFES","fear",0.5
"o2z7pip6","ADFES","happiness",1
"o2z7pip6","JeFEE","surprise",0.5
"o2z7pip6","JeFEE","anger",0.875
"o2z7pip6","JeFEE","disgust",0.75
"o2z7pip6","JeFEE","sadness",0.75
"o2z7pip6","JeFEE","fear",0.75
"o2z7pip6","JeFEE","happiness",0.625
"orbkyveq","ADFES","surprise",1
"orbkyveq","ADFES","anger",1
"orbkyveq","ADFES","disgust",1
"orbkyveq","ADFES","sadness",1
"orbkyveq","ADFES","fear",1
"orbkyveq","ADFES","happiness",0.875
"orbkyveq","JeFEE","surprise",0.75
"orbkyveq","JeFEE","anger",0.5
"orbkyveq","JeFEE","disgust",0.375
"orbkyveq","JeFEE","sadness",0.375
"orbkyveq","JeFEE","fear",0.875
"orbkyveq","JeFEE","happiness",0.375
"ot2a67oz","ADFES","surprise",1
"ot2a67oz","ADFES","anger",1
"ot2a67oz","ADFES","disgust",1
"ot2a67oz","ADFES","sadness",1
"ot2a67oz","ADFES","fear",1
"ot2a67oz","ADFES","happiness",0.75
"ot2a67oz","JeFEE","surprise",0.5
"ot2a67oz","JeFEE","anger",0.75
"ot2a67oz","JeFEE","disgust",0.25
"ot2a67oz","JeFEE","sadness",0.375
"ot2a67oz","JeFEE","fear",0.375
"ot2a67oz","JeFEE","happiness",0
"pazaw89c","ADFES","surprise",1
"pazaw89c","ADFES","anger",1
"pazaw89c","ADFES","disgust",0.25
"pazaw89c","ADFES","sadness",0.75
"pazaw89c","ADFES","fear",0.875
"pazaw89c","ADFES","happiness",0.75
"pazaw89c","JeFEE","surprise",0.75
"pazaw89c","JeFEE","anger",0.75
"pazaw89c","JeFEE","disgust",0.625
"pazaw89c","JeFEE","sadness",0.571428571428571
"pazaw89c","JeFEE","fear",0.875
"pazaw89c","JeFEE","happiness",0.25
"q22rvuoa","ADFES","surprise",1
"q22rvuoa","ADFES","anger",1
"q22rvuoa","ADFES","disgust",0.75
"q22rvuoa","ADFES","sadness",1
"q22rvuoa","ADFES","fear",0.875
"q22rvuoa","ADFES","happiness",0.875
"q22rvuoa","JeFEE","surprise",0.5
"q22rvuoa","JeFEE","anger",0.75
"q22rvuoa","JeFEE","disgust",0.25
"q22rvuoa","JeFEE","sadness",0.75
"q22rvuoa","JeFEE","fear",0.5
"q22rvuoa","JeFEE","happiness",0.875
"qacnye5g","ADFES","surprise",0.875
"qacnye5g","ADFES","anger",0.875
"qacnye5g","ADFES","disgust",0.875
"qacnye5g","ADFES","sadness",1
"qacnye5g","ADFES","fear",0.875
"qacnye5g","ADFES","happiness",1
"qacnye5g","JeFEE","surprise",0.375
"qacnye5g","JeFEE","anger",0.875
"qacnye5g","JeFEE","disgust",0.375
"qacnye5g","JeFEE","sadness",0.5
"qacnye5g","JeFEE","fear",0.625
"qacnye5g","JeFEE","happiness",0.5
"r362zfk9","ADFES","surprise",1
"r362zfk9","ADFES","anger",0.625
"r362zfk9","ADFES","disgust",1
"r362zfk9","ADFES","sadness",0.75
"r362zfk9","ADFES","fear",0.625
"r362zfk9","ADFES","happiness",0.75
"r362zfk9","JeFEE","surprise",0.285714285714286
"r362zfk9","JeFEE","anger",0.875
"r362zfk9","JeFEE","disgust",0.5
"r362zfk9","JeFEE","sadness",0.125
"r362zfk9","JeFEE","fear",0.375
"r362zfk9","JeFEE","happiness",0.285714285714286
"s0nlid8m","ADFES","surprise",1
"s0nlid8m","ADFES","anger",0.875
"s0nlid8m","ADFES","disgust",0.875
"s0nlid8m","ADFES","sadness",0.75
"s0nlid8m","ADFES","fear",0.5
"s0nlid8m","ADFES","happiness",1
"s0nlid8m","JeFEE","surprise",0.375
"s0nlid8m","JeFEE","anger",0.75
"s0nlid8m","JeFEE","disgust",0.75
"s0nlid8m","JeFEE","sadness",0.142857142857143
"s0nlid8m","JeFEE","fear",0.5
"s0nlid8m","JeFEE","happiness",0.125
"sm064jgm","ADFES","surprise",1
"sm064jgm","ADFES","anger",0.875
"sm064jgm","ADFES","disgust",0.5
"sm064jgm","ADFES","sadness",0.875
"sm064jgm","ADFES","fear",0.625
"sm064jgm","ADFES","happiness",0.375
"sm064jgm","JeFEE","surprise",0.75
"sm064jgm","JeFEE","anger",0.375
"sm064jgm","JeFEE","disgust",0.5
"sm064jgm","JeFEE","sadness",1
"sm064jgm","JeFEE","fear",0.75
"sm064jgm","JeFEE","happiness",0.5
"so42f37a","ADFES","surprise",1
"so42f37a","ADFES","anger",1
"so42f37a","ADFES","disgust",1
"so42f37a","ADFES","sadness",0.375
"so42f37a","ADFES","fear",0.625
"so42f37a","ADFES","happiness",0.75
"so42f37a","JeFEE","surprise",0.625
"so42f37a","JeFEE","anger",0.625
"so42f37a","JeFEE","disgust",0.25
"so42f37a","JeFEE","sadness",0.375
"so42f37a","JeFEE","fear",0.5
"so42f37a","JeFEE","happiness",0.75
"t10d4kgz","ADFES","surprise",1
"t10d4kgz","ADFES","anger",0.875
"t10d4kgz","ADFES","disgust",1
"t10d4kgz","ADFES","sadness",0.875
"t10d4kgz","ADFES","fear",1
"t10d4kgz","ADFES","happiness",0.875
"t10d4kgz","JeFEE","surprise",0.375
"t10d4kgz","JeFEE","anger",0.75
"t10d4kgz","JeFEE","disgust",0.625
"t10d4kgz","JeFEE","sadness",0.375
"t10d4kgz","JeFEE","fear",0.875
"t10d4kgz","JeFEE","happiness",0.875
"t1vpm2x9","ADFES","surprise",1
"t1vpm2x9","ADFES","anger",1
"t1vpm2x9","ADFES","disgust",1
"t1vpm2x9","ADFES","sadness",1
"t1vpm2x9","ADFES","fear",0.625
"t1vpm2x9","ADFES","happiness",0.5
"t1vpm2x9","JeFEE","surprise",0.625
"t1vpm2x9","JeFEE","anger",0.714285714285714
"t1vpm2x9","JeFEE","disgust",0.75
"t1vpm2x9","JeFEE","sadness",0.125
"t1vpm2x9","JeFEE","fear",0.625
"t1vpm2x9","JeFEE","happiness",0.375
"tdi70eu6","ADFES","surprise",0.875
"tdi70eu6","ADFES","anger",1
"tdi70eu6","ADFES","disgust",0.875
"tdi70eu6","ADFES","sadness",1
"tdi70eu6","ADFES","fear",0.625
"tdi70eu6","ADFES","happiness",0.875
"tdi70eu6","JeFEE","surprise",0.625
"tdi70eu6","JeFEE","anger",0.625
"tdi70eu6","JeFEE","disgust",0.5
"tdi70eu6","JeFEE","sadness",0.375
"tdi70eu6","JeFEE","fear",0
"tdi70eu6","JeFEE","happiness",0.625
"tebmtd92","ADFES","surprise",1
"tebmtd92","ADFES","anger",0.875
"tebmtd92","ADFES","disgust",0.75
"tebmtd92","ADFES","sadness",0.625
"tebmtd92","ADFES","fear",0.375
"tebmtd92","ADFES","happiness",0.75
"tebmtd92","JeFEE","surprise",0.375
"tebmtd92","JeFEE","anger",0.625
"tebmtd92","JeFEE","disgust",0.75
"tebmtd92","JeFEE","sadness",0.125
"tebmtd92","JeFEE","fear",0.625
"tebmtd92","JeFEE","happiness",0.625
"tie104rp","ADFES","surprise",1
"tie104rp","ADFES","anger",1
"tie104rp","ADFES","disgust",1
"tie104rp","ADFES","sadness",0.875
"tie104rp","ADFES","fear",0.625
"tie104rp","ADFES","happiness",1
"tie104rp","JeFEE","surprise",0.875
"tie104rp","JeFEE","anger",1
"tie104rp","JeFEE","disgust",0.625
"tie104rp","JeFEE","sadness",0.625
"tie104rp","JeFEE","fear",0.125
"tie104rp","JeFEE","happiness",0.875
"to4qz7t0","ADFES","surprise",1
"to4qz7t0","ADFES","anger",0.875
"to4qz7t0","ADFES","disgust",1
"to4qz7t0","ADFES","sadness",0.875
"to4qz7t0","ADFES","fear",0.875
"to4qz7t0","ADFES","happiness",1
"to4qz7t0","JeFEE","surprise",0.25
"to4qz7t0","JeFEE","anger",0.75
"to4qz7t0","JeFEE","disgust",0.75
"to4qz7t0","JeFEE","sadness",0
"to4qz7t0","JeFEE","fear",0.875
"to4qz7t0","JeFEE","happiness",0.375
"tvhruw8t","ADFES","surprise",1
"tvhruw8t","ADFES","anger",1
"tvhruw8t","ADFES","disgust",0.875
"tvhruw8t","ADFES","sadness",0.75
"tvhruw8t","ADFES","fear",0.625
"tvhruw8t","ADFES","happiness",0.5
"tvhruw8t","JeFEE","surprise",1
"tvhruw8t","JeFEE","anger",0.75
"tvhruw8t","JeFEE","disgust",0.75
"tvhruw8t","JeFEE","sadness",0.25
"tvhruw8t","JeFEE","fear",0.375
"tvhruw8t","JeFEE","happiness",0.5
"ug4upoq8","ADFES","surprise",1
"ug4upoq8","ADFES","anger",1
"ug4upoq8","ADFES","disgust",1
"ug4upoq8","ADFES","sadness",0.875
"ug4upoq8","ADFES","fear",0.75
"ug4upoq8","ADFES","happiness",1
"ug4upoq8","JeFEE","surprise",0.75
"ug4upoq8","JeFEE","anger",0.625
"ug4upoq8","JeFEE","disgust",0.428571428571429
"ug4upoq8","JeFEE","sadness",0.75
"ug4upoq8","JeFEE","fear",0.875
"ug4upoq8","JeFEE","happiness",0.625
"upk4mqeg","ADFES","surprise",1
"upk4mqeg","ADFES","anger",1
"upk4mqeg","ADFES","disgust",1
"upk4mqeg","ADFES","sadness",0.875
"upk4mqeg","ADFES","fear",0.75
"upk4mqeg","ADFES","happiness",1
"upk4mqeg","JeFEE","surprise",0.625
"upk4mqeg","JeFEE","anger",1
"upk4mqeg","JeFEE","disgust",0.75
"upk4mqeg","JeFEE","sadness",0.625
"upk4mqeg","JeFEE","fear",0.625
"upk4mqeg","JeFEE","happiness",0.875
"utiwr12j","ADFES","surprise",1
"utiwr12j","ADFES","anger",1
"utiwr12j","ADFES","disgust",1
"utiwr12j","ADFES","sadness",0.5
"utiwr12j","ADFES","fear",0.571428571428571
"utiwr12j","ADFES","happiness",0.75
"utiwr12j","JeFEE","surprise",0.625
"utiwr12j","JeFEE","anger",0.75
"utiwr12j","JeFEE","disgust",0.875
"utiwr12j","JeFEE","sadness",0.25
"utiwr12j","JeFEE","fear",0.125
"utiwr12j","JeFEE","happiness",0.5
"v68f7op5","ADFES","surprise",1
"v68f7op5","ADFES","anger",1
"v68f7op5","ADFES","disgust",1
"v68f7op5","ADFES","sadness",0.75
"v68f7op5","ADFES","fear",0.875
"v68f7op5","ADFES","happiness",1
"v68f7op5","JeFEE","surprise",0.375
"v68f7op5","JeFEE","anger",0.5
"v68f7op5","JeFEE","disgust",0.25
"v68f7op5","JeFEE","sadness",0.25
"v68f7op5","JeFEE","fear",0.571428571428571
"v68f7op5","JeFEE","happiness",1
"vvbrppbq","ADFES","surprise",1
"vvbrppbq","ADFES","anger",0.875
"vvbrppbq","ADFES","disgust",0.75
"vvbrppbq","ADFES","sadness",0.75
"vvbrppbq","ADFES","fear",0.875
"vvbrppbq","ADFES","happiness",0.75
"vvbrppbq","JeFEE","surprise",0.5
"vvbrppbq","JeFEE","anger",1
"vvbrppbq","JeFEE","disgust",0.25
"vvbrppbq","JeFEE","sadness",0.5
"vvbrppbq","JeFEE","fear",0.5
"vvbrppbq","JeFEE","happiness",0.625
"wtxckmxu","ADFES","surprise",0.875
"wtxckmxu","ADFES","anger",1
"wtxckmxu","ADFES","disgust",0.75
"wtxckmxu","ADFES","sadness",0.75
"wtxckmxu","ADFES","fear",0.5
"wtxckmxu","ADFES","happiness",0.5
"wtxckmxu","JeFEE","surprise",0.375
"wtxckmxu","JeFEE","anger",0.625
"wtxckmxu","JeFEE","disgust",0.25
"wtxckmxu","JeFEE","sadness",0.625
"wtxckmxu","JeFEE","fear",0.125
"wtxckmxu","JeFEE","happiness",0.5
"xj11h22r","ADFES","surprise",1
"xj11h22r","ADFES","anger",0.375
"xj11h22r","ADFES","disgust",0.875
"xj11h22r","ADFES","sadness",0.875
"xj11h22r","ADFES","fear",0.5
