Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-7qdz,branch-3wqq,Randomise questionnaire elements?,Question Key,Response
3,1683103887812,03/05/2023 08:51:27,1683103887285,2,03/05/2023 10:51:27,131710,2,questionnaire-fh17,,29245825,mvxomygc,8710710,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.4,1470x956,1470x840,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,9729
1,1683122810512,03/05/2023 14:06:50,1683122810391,2,03/05/2023 16:06:50,131710,2,questionnaire-fh17,,29262717,1jesbvms,8716063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1345x680,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1683122844280,03/05/2023 14:07:24,1683122844168,2,03/05/2023 16:07:24,131710,2,questionnaire-fh17,,29262717,1jesbvms,8716063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1345x680,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1683122844357,03/05/2023 14:07:24,1683122844170,2,03/05/2023 16:07:24,131710,2,questionnaire-fh17,,29262717,1jesbvms,8716063,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1345x680,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,33779
1,1683151233805,03/05/2023 22:00:33,1683151233687,2,04/05/2023 00:00:33,131710,2,questionnaire-fh17,,29272120,aqsvfz9l,8719343,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1470x956,1200x712,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1683151258547,03/05/2023 22:00:58,1683151258494,2,04/05/2023 00:00:58,131710,2,questionnaire-fh17,,29272120,aqsvfz9l,8719343,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1470x956,1200x712,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1683151258665,03/05/2023 22:00:58,1683151258496,2,04/05/2023 00:00:58,131710,2,questionnaire-fh17,,29272120,aqsvfz9l,8719343,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1470x956,1200x712,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,24809
1,1683202124710,04/05/2023 12:08:44,1683202124856,2,04/05/2023 14:08:44,131710,2,questionnaire-fh17,,29283647,z8oj5iji,8722120,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1683202149327,04/05/2023 12:09:09,1683202149534,2,04/05/2023 14:09:09,131710,2,questionnaire-fh17,,29283647,z8oj5iji,8722120,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1683202149451,04/05/2023 12:09:09,1683202149536,2,04/05/2023 14:09:09,131710,2,questionnaire-fh17,,29283647,z8oj5iji,8722120,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,24680
