"subject","video_set","emotion","intensity"
"aaal34oe","JeFEE","fear",201.173037538148
"aaal34oe","JeFEE","happiness",171.150676610633
"aqsvfz9l","ADFES","surprise",231.175217477701
"aqsvfz9l","ADFES","anger",217.681984987554
"aqsvfz9l","ADFES","disgust",246.932595729003
"aqsvfz9l","ADFES","sadness",197.745786008368
"aqsvfz9l","ADFES","fear",220.851309577603
"aqsvfz9l","ADFES","happiness",254.323405092332
"aqsvfz9l","JeFEE","surprise",183.437176647167
"aqsvfz9l","JeFEE","anger",158.813014469445
"aqsvfz9l","JeFEE","disgust",191.647888172249
"aqsvfz9l","JeFEE","sadness",139.860194012059
"aqsvfz9l","JeFEE","fear",180.085502981729
"aqsvfz9l","JeFEE","happiness",206.154784749104
"avr4ulis","ADFES","surprise",234.282606976634
"avr4ulis","ADFES","anger",212.871075934927
"avr4ulis","ADFES","disgust",239.812956918166
"avr4ulis","ADFES","sadness",202.50123356687
"avr4ulis","ADFES","fear",219.287699087777
"avr4ulis","ADFES","happiness",244.670343255191
"avr4ulis","JeFEE","surprise",116.271360964114
"avr4ulis","JeFEE","anger",135.501801409637
"avr4ulis","JeFEE","disgust",168.082747498912
"avr4ulis","JeFEE","sadness",33.1079999169391
"avr4ulis","JeFEE","fear",7.95874561582439
"avr4ulis","JeFEE","happiness",61.0865536303212
"b3e2ff37","ADFES","surprise",234.628638099882
"b3e2ff37","ADFES","anger",187.291998763723
"b3e2ff37","ADFES","disgust",223.539548720997
"b3e2ff37","ADFES","sadness",219.863375975777
"b3e2ff37","ADFES","fear",235.717715662949
"b3e2ff37","ADFES","happiness",197.256270274498
"b3e2ff37","JeFEE","surprise",189.492071933635
"b3e2ff37","JeFEE","anger",202.431188739627
"b3e2ff37","JeFEE","disgust",222.716083199387
"b3e2ff37","JeFEE","sadness",218.484191748242
"b3e2ff37","JeFEE","fear",208.29759631209
"b3e2ff37","JeFEE","happiness",194.966859035998
"bd1hytn7","ADFES","surprise",160.639549404076
"bd1hytn7","ADFES","anger",125.50393776366
"bd1hytn7","ADFES","disgust",165.806780678109
"bd1hytn7","ADFES","sadness",179.611931283348
"bd1hytn7","ADFES","fear",187.65933516974
"bd1hytn7","ADFES","happiness",177.572685512539
"bd1hytn7","JeFEE","surprise",175.565776041911
"bd1hytn7","JeFEE","anger",130.775414899263
"bd1hytn7","JeFEE","disgust",173.387267799206
"bd1hytn7","JeFEE","sadness",155.037606313847
